Job Title,Job Description,Job Location,Employer Brand Name,Salary Lower Range,Salary Upper Range,Shift Timings,Calling Hours,Accommodation Provided,English Proficiency,Additional Perks,Active,Create Date,Job Post Id,Employer Id
Cashier,"- Handle cash transactions accurately and process payments. 
- Maintain an organized cash register and reconcile cash drawer. 
- Ensure proper billing and issue receipts. 
- Assist customers with any payment-related inquiries.","Bodakdev, Ahmedabad",Cocoa Drama,14000.00,18000.00,03:00 PM - 11:00 PM, - ,false,BEGINNER,8 Hours Shift + Food Allowance,true,2025-03-24 11:59:16.987,03a350ca-1160-4854-8ea4-87ae33d839c5,73d1a794-9b4e-40c0-8f1b-e3b70031f568
Restaurant Manager/Outlet Manager,"- Oversee overall restaurant/venue operations, including staff, customer service, and profitability. 
- Develop and implement business strategies to meet goals. 
- Maintain quality standards, cleanliness, and adherence to regulations. 
- Manage budgets, analyze financial reports, and control costs.
",Mehsana gujarat,PUNJABI CHAAP CORNER MULTI CUISINE RESTAURANT ,20000.00,25000.00,11:00 AM - 11:00 PM, - ,true,GOOD,,false,2024-01-31 00:00:00.0,0430f169-ec6f-42ae-9560-fe02fb0edb57,eec81416-bb7c-4726-b9a2-afdabca15c67
Marketing Executive,"- Develop and implement marketing strategies to promote the restaurant.
- Plan and execute marketing campaigns and initiatives.
- Manage social media presence and online marketing channels.
- Collaborate with external partners for marketing activities.",Ahmedabad,THE PENTHOUSE - BY NOVELCHEF,20000.00,25000.00,11:00 AM - 07:00 PM, - ,false,GOOD,Must have vehicle ,true,2024-08-23 10:33:16.747,0433147e-89fb-4f07-b53d-5a57364bf0c6,0b4c7150-1bb2-4cba-beb8-be8487ec29db
Indian (Curry) Chef (Commi),"- Prepare and cook a variety of Indian curry dishes, including biryanis, curries, and kebabs.
- Ensure authentic flavors and high-quality presentation.
- Maintain cleanliness and organization in the Indian curry kitchen section.
- Collaborate with other chefs for coordinated service.",Pune,Yanik Kitchen,18000.00,22000.00,11:00 AM - 11:00 PM,10:00 AM - 08:00 PM,true,BEGINNER,,false,2024-10-24 04:46:15.166,0451d3d7-0101-4e4e-9fbe-a0805f638475,af37cd70-6033-4d9a-893f-13ecdf746f4e
Barista,"- Prepare and serve a variety of coffee and other beverages. 
- Take customer orders and provide personalized recommendations. 
- Operate coffee machines and maintain cleanliness. 
- Handle cash transactions and maintain inventory.","Lower Parel, Mumbai",Twenty Seven Bakehouse,25000.00,35000.00, - ,10:00 AM - 08:00 PM,false,GOOD,Service Charge & Tips,false,2023-09-05 00:00:00.0,0454889b-dd94-4ef3-b925-dc3f96b3d349,9290bacd-c2b4-4578-9147-719d787cb207
Assistant Restaurant Manager / Assistant Outlet Manager,"- Support the manager in day-to-day operations and staff management. 
- Assist in inventory control and order supplies. 
- Ensure compliance with health and safety standards. 
- Handle customer feedback and resolve any issues.",Ahmedabad,Only Burgers,15000.00,18000.00,02:00 PM - 12:00 AM, - ,true,BEGINNER,,true,2024-08-09 08:22:14.226,045c3821-2fc6-4ca8-b708-d52445958c2b,c0791635-dee1-4949-bdfc-34e51ed4c5ab
Back of House Manager/Kitchen Manager,"- Oversee kitchen operations, including food preparation, cooking, and inventory management.
- Train and manage kitchen staff, ensuring quality and efficiency.
- Maintain cleanliness and adhere to health and safety standards.
- Collaborate with front-of-house staff for seamless service.",Jaipur,Anandji Sweets ,20000.00,30000.00,07:00 AM - 05:00 PM, - ,false,GOOD,,false,2024-05-23 11:20:31.04,047a1e1d-260a-4660-aae6-66838ffe072f,b2179d6b-643a-4669-8c47-a9d0e586d2b5
Barista,"- Prepare and serve a variety of coffee and other beverages. 
- Take customer orders and provide personalized recommendations. 
- Operate coffee machines and maintain cleanliness. 
- Handle cash transactions and maintain inventory.",Bandra Reclamation,The Nutcracker,21000.00,23000.00, - , - ,false,GOOD,Service Charge,false,2024-05-27 13:17:41.52,0488600b-4668-4956-ab47-16a4adc369cc,0f419800-2e35-45c3-80db-32a707f06c20
Head Chef/Executive Chef,"- Develop menus and create new dishes, ensuring quality and innovation.
- Oversee kitchen operations, including food preparation, cooking, and plating.
- Train and lead kitchen staff, ensuring high culinary standards.
- Manage inventory, control costs, and maintain hygiene and safety standards.","Ahmedabad, Gujarat",THE PENTHOUSE - BY NOVELCHEF,35000.00,40000.00,11:00 AM - 11:00 PM, - ,false,BEGINNER,,false,2024-03-24 03:49:59.691,04a4f977-3f54-4b32-94d2-e3fb141776e3,0b4c7150-1bb2-4cba-beb8-be8487ec29db
Banquet Manager,"- Manage banquet operations, including staffing and service coordination. 
- Plan and organize banquet events, ensuring smooth execution. 
- Coordinate with clients to understand their event requirements. 
- Supervise banquet staff and ensure high-quality service. 
- Oversee setup, service, and cleanup. 
- Handle client inquiries and resolve any issues.","Ambli Bopal,Ahmedabad", Flavours Restaurant & Banquet/ Laurel Restaurant,40000.00,45000.00, - , - ,true,EXPERT,,true,2025-06-12 08:37:34.276,04c942bf-39a4-4ead-b461-2372d4dacc6e,d39dd213-53aa-40f7-ba16-f08e039f326f
Pizza Chef (DCDP / CDP),"- Prepare and cook pizzas, ensuring the right dough consistency and toppings.
- Operate pizza ovens and monitor cooking times for optimal results.
- Maintain cleanliness and organization in the pizza section.
- Collaborate with the kitchen team for efficient service.",Banswara Rajasthan,DANPUR MISHTHAN BHANDAR ,14000.00,18000.00,11:00 AM - 11:00 PM, - ,true,BEGINNER,"Accommodation, luch , dinner and breakfast",false,2024-03-21 04:56:21.033,04d018a3-0bb8-486b-bda9-7e52dafeb666,c38763e8-b279-4b17-82c8-e718045a8b8e
Captain,"- Oversee the dining area and ensure smooth service flow. 
- Supervise waitstaff, assign sections, and provide guidance. 
- Handle customer inquiries, complaints, and special requests. 
- Collaborate with kitchen staff for timely food delivery.","Thane , Mumbai",Kudos Restaurant and Banquet,16000.00,17000.00,01:00 PM - 10:00 PM, - ,true,GOOD,,true,2025-04-28 13:12:01.291,052768f2-9b66-4bda-a087-99df88edf205,fa721d84-b3c3-48e8-bc6f-d570b72b5a7e
Waiter / Steward,"- Provide attentive customer service and take orders accurately. 
- Serve food and beverages promptly. 
- Ensure customer satisfaction and handle any inquiries or issues. 
- Set up and clean dining area for service.","Thaltej, Ahmedbad",Aarambh Cafe,12000.00,15000.00, - ,10:00 AM - 8:00 PM,false,BEGINNER,,false,2023-10-31 00:00:00.0,054cd094-108b-4b43-bd84-6e4788b2666f,97079589-ddd1-4f40-a6e8-b7f3e112c83a
Pastry Chef (Commi),"- Prepare and bake a variety of pastries, cakes, and desserts.
- Create and develop new pastry recipes.
- Decorate and present pastries in an aesthetically pleasing manner.
- Maintain cleanliness and hygiene in the pastry section.",Nadiad,Lotus Bistro Lounge,12000.00,20000.00,10:00 AM - 10:00 PM, - ,true,BEGINNER,,false,2024-04-01 15:20:26.972,059d7884-69e3-42f6-96e3-0807de3486f0,7230dd2f-d0f6-4ed0-8b95-c4d8b536da3f
Bar Manager,"- Oversee all aspects of bar operations, including staff, inventory, and customer service. 
- Develop and update drink menus and promotions. 
- Ensure compliance with licensing and health regulations. 
- Analyze sales data and implement strategies to maximize profitability.",Jaipur,Native Cocktail Room Jaipur,50000.00,60000.00,01:00 PM - 11:00 PM, - ,true,EXPERT,Service Charge,false,2025-02-10 13:59:58.864,06dd6478-d643-41ea-be29-e685a3bb17d7,e1827155-8ddc-400f-8bac-02ba5e81793f
Waiter / Steward,"- Provide attentive customer service and take orders accurately. 
- Serve food and beverages promptly. 
- Ensure customer satisfaction and handle any inquiries or issues. 
- Set up and clean the dining area for service.",Ahmedabad,Dreams & Mocktails,10000.00,13000.00,02:00 PM - 12:00 AM, - ,true,GOOD,"Daily Meals
Weekly Off
Accommodation ",false,2024-01-19 00:00:00.0,078d7f48-fb8a-403a-ac46-d9817b0a3648,ce369cd2-545c-4604-807e-9ddaee0034bb
Waiter / Steward,"- 7740037331 CALL FOR JOB
- 9 HOUR SHIFT PER DAY 
- INCENTIVE WILL BE PROVIDED AFTER 3 MONTHS OF JOINING 
- Provide attentive customer service and take orders accurately. 
- Serve food and beverages promptly. 
- Ensure customer satisfaction and handle any inquiries or issues. 
- Set up and clean dining area for service.",MEHSANA GUJARAT,PUNJABI CHAAP CORNER MULTI CUISINE RESTAURANT ,12000.00,14000.00,01:00 PM - 10:00 PM,10:00 AM - 09:00 PM,true,BEGINNER,INCENTIVE WILL BE PROVIDED AFTER JOINING OF 3 MONTHS ALSO ACCOMMODATION AND FOOD,false,2023-10-11 00:00:00.0,083237bc-7b98-4805-bba5-5b074974f780,eec81416-bb7c-4726-b9a2-afdabca15c67
Restaurant Manager / Outlet Manager,"- Oversee overall restaurant/venue operations, including staff, customer service, and profitability. 
- Develop and implement business strategies to meet goals. 
- Maintain quality standards, cleanliness, and adherence to regulations. 
- Manage budgets, analyze financial reports, and control costs.","Church Street, Bangalore",Good Flippin Burgers,32000.00,40000.00, - , - ,false,EXPERT,Food Allowance,false,2025-01-06 12:12:19.714,086e1b14-27c1-42a3-be6a-fcae22846a55,de4ce4ff-e928-4e67-98c7-65e7730aa346
Kitchen Helper,"- Assist in food preparation, such as chopping vegetables and preparing ingredients. 
- Assist in cooking and assembling dishes. 
- Clean and sanitize kitchen utensils, equipment, and work areas. 
- Follow food safety and hygiene standards. 
- Receive and store incoming supplies and ingredients.","Thaltej, Ahmedabad",The Dosa Times,11000.00,14000.00, - ,10:00 AM - 8:00 PM,true,BEGINNER,,false,2023-10-31 00:00:00.0,08a326c8-bbe1-4bcc-bd9e-df84dbe72d8f,4078de1b-2de8-487f-bca8-1481b4706cdf
Waiter / Steward,"- Provide attentive customer service and take orders accurately. 
- Serve food and beverages promptly. 
- Ensure customer satisfaction and handle any inquiries or issues. 
- Set up and clean dining area for service.","Ambli, Ahmedabad",Blockheads,18000.00,20000.00, - ,10:00 AM - 8:00 PM,true,GOOD,,false,2024-02-19 00:00:00.0,090fcc23-a9ac-4b62-868b-19a31335dc9b,927ca504-7d19-48d1-b2b6-54acb6cf2d0c
Restaurant Manager / Outlet Manager,"- Support the manager in day-to-day operations and staff management. 
- Assist in inventory control and order supplies. 
- Ensure compliance with health and safety standards. 
- Handle customer feedback and resolve any issues.","Chandkheda, Ahmedabad",Mirch Masala,23000.00,25000.00, - ,10:00 AM - 8:00 PM,true,GOOD,,false,2023-12-12 00:00:00.0,092474f5-cdb0-400e-8df9-4558a6ff0b3d,e7bb0cd8-a598-4837-92ae-7530f750e264
Bakery & Pastry Chef (Commi),"- Prepare and bake a variety of pastries, cakes, and desserts.
- Create and develop new pastry recipes.
- Decorate and present pastries in an aesthetically pleasing manner.
- Maintain cleanliness and hygiene in the pastry section.","Changodar, Ahmedabad",Roastea,22000.00,23000.00,01:00 PM - 11:00 PM,09:00 AM - 09:00 PM,true,GOOD,,false,2024-08-31 07:25:09.727,09a0877a-4cbd-4467-a081-cfe187f8188f,97cf8b75-3748-4eec-bc02-6cff1b12d01a
Tandoor Chef (Commi 1 / 2 / 3),"- Prepare and cook tandoori dishes, including naan, kebabs, and grilled meats.
- Operate and maintain tandoor oven for optimal cooking.
- Maintain cleanliness and organization in the tandoor section.
- Collaborate with the kitchen team for efficient service.","Ellisbridge, Ahmedabad",Patang Hotel,18000.00,20000.00, - ,10:00 AM - 8:00 PM,true,BEGINNER,Service Charge,false,2023-12-12 00:00:00.0,09a513a6-2e76-4097-8a1d-1e6798497240,590493cf-0ca2-4caa-8d26-0486912ae27d
Chinese Chef (Commi),"- Prepare and cook Chinese cuisine dishes, including stir-fries, noodles, and dim sum.
- Ensure authentic flavors and high-quality presentation.
- Maintain cleanliness and organization in the Chinese kitchen section.
- Collaborate with other chefs for coordinated service.",Ahmedabad,Silver Cloud,15000.00,18000.00,07:00 AM - 05:00 PM, - ,true,BEGINNER,,false,2023-10-17 00:00:00.0,09abd01d-905b-4932-a621-da4b416ce1c6,5a7f9ae4-3f13-4555-aeb6-23f91cd961e0
Operations Manager,"Job Description: Operations Specialist
Key Responsibilities:
● Manage Inventory: Keep an eye on food ingredients and packaging stock to ensure
non-stop production. Conduct regular checks and fix any stock differences.
● Monitor Operations: Oversee daily food-making activities, stick to schedules, and
maintain quality. Sort out any production or quality issues.
● Cost Control: Work with the finance team to check and cut down food production costs.
Find ways to do things more efficiently.
● Improve Processes: Constantly look for ways to make food production smoother and
less wasteful. Bring in new techniques and tools as needed.
● Reporting: Regularly report on stock levels, production efficiency, and other important
details to the management.
● Teamwork: Coordinate with other departments like procurement, sales, and quality
control to ensure everything runs smoothly.
● Safety and Standards: Make sure all activities comply with food safety and quality
standards. Stay updated with regulations to keep operations legal and safe.","Ahmedabad, Gujarat",Charyas Guilt Free Foods,28000.00,30000.00,09:00 AM - 07:00 PM, - ,false,BEGINNER,"Shift Hours: 9 AM to 6:30 PM (One day off per week)
Uniform: Charyas official t-shirt along with laundry allowance
Allowance: Limited travel allowance for work related trips",false,2024-03-31 02:16:46.595,09e40267-6131-42db-9a7f-ad93bdcc27e7,824e899a-ec5e-4f38-bcdd-d950819c7596
Chinese Chef (Commi),"- Prepare and cook Chinese cuisine dishes, including stir-fries, noodles, and dim sum.
- Ensure authentic flavors and high-quality presentation.
- Maintain cleanliness and organization in the Chinese kitchen section.
- Collaborate with other chefs for coordinated service.","South Bopal, Ahmedabad",The frying pan ,20000.00,23000.00,11:00 AM - 11:00 AM,09:00 AM - 09:00 AM,true,BEGINNER,,false,2024-06-15 04:49:48.315,0a0531ca-8010-482e-a81c-0dba1a69e5d3,04446258-c110-4bb7-b401-7c5f7b5fb7b1
Indian (Curry) Chef (Commi),"- Prepare and cook a variety of Indian curry dishes, including biryanis, curries, and kebabs.
- Ensure authentic flavors and high-quality presentation.
- Maintain cleanliness and organization in the Indian curry kitchen section.
- Collaborate with other chefs for coordinated service.",Ahmedabad,THE PENTHOUSE - BY NOVELCHEF,18000.00,22000.00,11:00 AM - 11:00 PM, - ,false,BEGINNER,,true,2024-08-23 10:43:22.305,0a295ce9-278c-4cfe-a805-ba2a404c0f71,0b4c7150-1bb2-4cba-beb8-be8487ec29db
Fast Food Chef (Sous Chef),"- Prepare and cook a variety of fast food items, including burgers, sandwiches, and fries.
- Ensure efficient and timely food preparation.
- Maintain cleanliness and organization in the fast food kitchen section.
- Collaborate with the kitchen team for efficient service.",Nadiad,Lotus Bistro Lounge,15000.00,20000.00,09:00 AM - 11:00 PM, - ,true,BEGINNER,"STAY
FOOD
",false,2024-04-01 14:30:35.607,0a3d5e2a-dc1e-427f-9b6f-1eef5f55a277,7230dd2f-d0f6-4ed0-8b95-c4d8b536da3f
Captain,"- Oversee the dining area and ensure smooth service flow. 
- Supervise waitstaff, assign sections, and provide guidance. 
- Handle customer inquiries, complaints, and special requests. 
- Collaborate with kitchen staff for timely food delivery.","BKC, Mumbai",O Pedro,18000.00,20000.00,01:00 PM - 11:00 PM, - ,false,EXPERT,Service Charge & Tips,false,2024-06-05 09:10:40.631,0ac5bbd2-b358-4be6-b247-5fb6ecf0a55e,c5c822b8-fb00-4805-9565-a5a15cdca3e8
Housekeeping Supervisor,"- Supervise the cleaning and sanitization of guest rooms to meet high standards. 
- Supervise Housekeeping Associates. 
- Ensure cleanliness and orderliness in public areas. 
- Ensure smooth functioning of all Housekeeping sub-departments 
- Ensure guest requests promptly and maintain a guest-centric approach.","Ashram Road, Ahmedabad",Hotel Silver Cloud,20000.00,25000.00, - ,10:00 AM - 8:00 PM,true,BEGINNER,,false,2023-10-31 00:00:00.0,0b310213-151a-4948-a464-2b9fadb9ad3a,8daa24b1-ffa1-4bcc-945a-8264b86502f0
Waiter / Steward,"- Provide attentive customer service and take orders accurately. 
- Serve food and beverages promptly. 
- Ensure customer satisfaction and handle any inquiries or issues. 
- Set up and clean dining area for service.",Palghar,Breeze The Rooftop Cafe,10000.00,14000.00,11:00 AM - 11:00 PM, - ,true,GOOD,"Food, Accommodation, Good Environment to work in, Uniform, oppurtunity for growth",false,2024-04-18 10:16:22.14,0b537b89-0208-4184-b3fa-f1beb3edc4be,fc249300-65d1-499c-b4bc-76430c776e99
Waiter / Steward,"- Provide attentive customer service and take orders accurately. 
- Serve food and beverages promptly. 
- Ensure customer satisfaction and handle any inquiries or issues. 
- Set up and clean dining area for service.",Surat,HR FOODD,9000.00,11000.00,05:00 AM - 12:00 AM, - ,true,BEGINNER,,false,2023-12-17 00:00:00.0,0c216c59-e17d-4b18-9c74-a699195a7fb2,fc161fec-9c42-439a-a020-b889bfccb9e2
Waiter / Steward,"- Provide attentive customer service and take orders accurately. 
- Serve food and beverages promptly. 
- Ensure customer satisfaction and handle any inquiries or issues. 
- Set up and clean dining area for service.","Anand, Gujarat",Madhubhan Resort & Spa,15000.00,18000.00, - ,10:00 AM - 8:00 PM,true,GOOD,,false,2023-10-31 00:00:00.0,0c2f911e-8ced-4d40-bc7b-89345c4c0270,2d74c628-cdcb-4a49-b6ad-3f885032471a
Barista,"- Prepare and serve a variety of coffee and other beverages. 
- Take customer orders and provide personalized recommendations. 
- Operate coffee machines and maintain cleanliness. 
- Handle cash transactions and maintain inventory.",Ahmedabad,The Espresso Bistro,15000.00,25000.00,08:00 AM - 12:00 PM, - ,true,BEGINNER,Health insurance & 3 time food,false,2023-10-03 00:00:00.0,0c8dccc8-80f6-4a9a-9a98-723337634fb5,002eeb18-763d-4f1f-a2ea-5e43273b2e74
Fast Food Chef (Commi),"- Prepare and cook a variety of fast food items, including burgers, sandwiches, and fries.
- Ensure efficient and timely food preparation.
- Maintain cleanliness and organization in the fast food kitchen section.
- Collaborate with the kitchen team for efficient service.","Nande-Mahalungr , Pune",Oh Crumbs,18000.00,20000.00,11:00 AM - 11:00 PM,09:00 AM - 07:00 PM,true,BEGINNER,,false,2025-03-12 10:52:03.511,0c987ecb-37ec-4e74-8986-5e0f5fdf1ffb,d9dfc4e0-5796-45f6-b086-ecd39d155de0
Operations Executive,"- Manage and optimize daily operations for multiple outlets efficient functioning. 
- Develop and implement operational policies and procedures. 
- Monitor performance, productivity, and customer satisfaction. 
- Coordinate with various departments to achieve organizational goals.","Head Office,One42,
 Ahmedabd",Roastea,30000.00,33000.00, - ,10:00 AM - 8:00 PM,false,EXPERT,,false,2023-12-04 00:00:00.0,0ce31dfd-f503-4307-9c64-1e55b8502285,01ae0af8-6290-4fba-af59-0d42f1ca9ae6
Bakery & Pastry Chef (DCDP / CDP),"- Prepare and bake a variety of pastries, cakes, and desserts.
- Create and develop new pastry recipes.
- Decorate and present pastries in an aesthetically pleasing manner.
- Maintain cleanliness and hygiene in the pastry section.","Mahalaxmi, Mumbai",Sage and Saffron,30000.00,35000.00, - , - ,false,GOOD,Service Charge & Tips,false,2024-05-06 08:51:04.053,0ce90088-d98b-4590-8b0b-bd024098591e,e95dfd4f-746f-4f37-a9d1-65b6d6c0a581
Continental Chef (DCDP / CDP),"- Prepare and cook a variety of continental cuisine dishes, including pasta, steaks, and seafood.
- Ensure accurate flavor profiles and presentation.
- Maintain cleanliness and organization in the continental kitchen section.
- Collaborate with the kitchen team for efficient service.",Sindhu Bhavan Road Ahmedabad ,Taam Jhaam,25000.00,30000.00, - , - ,true,GOOD,,true,2025-06-20 05:33:38.974,0cf95918-62fa-47b8-8f11-d9c276297453,0f256aab-d939-4148-97e0-85126f24a15c
